key,name,url,glyph
item.sword.wood,Wooden Sword,https://www.videogamesprites.net/Zelda1/Objects/Wooden%20Sword%20(Up).gif,
item.sword.white,White Sword,https://www.videogamesprites.net/Zelda1/Objects/White%20Sword%20(Up).gif,
item.sword.magical,Magical Sword,https://www.videogamesprites.net/Zelda1/Objects/Magical%20Sword%20(Menu).gif,
item.bow,Bow,https://www.videogamesprites.net/Zelda1/Objects/Bow.gif,
item.arrow.wood,Wooden Arrow,https://www.videogamesprites.net/Zelda1/Objects/Arrow%20(Up).gif,
item.arrow.silver,Silver Arrow,https://www.videogamesprites.net/Zelda1/Objects/Silver%20Arrow%20(Up).gif,
item.boomerang.wood,Boomerang,https://www.videogamesprites.net/Zelda1/Objects/Boomerang.gif,
item.boomerang.magical,Magical Boomerang,https://www.videogamesprites.net/Zelda1/Objects/Magical%20Boomerang.gif,
item.rod,Magical Rod,https://www.videogamesprites.net/Zelda1/Objects/Magical%20Rod.gif,
item.book,Book of Magic,https://www.videogamesprites.net/Zelda1/Objects/Book%20of%20Magic.gif,
item.candle.blue,Blue Candle,https://www.videogamesprites.net/Zelda1/Objects/Blue%20Candle.gif,
item.candle.red,Red Candle,https://www.videogamesprites.net/Zelda1/Objects/Red%20Candle.gif,
item.ring.blue,Blue Ring,https://www.videogamesprites.net/Zelda1/Objects/Blue%20Ring.gif,
item.ring.red,Red Ring,https://www.videogamesprites.net/Zelda1/Objects/Red%20Ring.gif,
item.raft,Raft,https://www.videogamesprites.net/Zelda1/Objects/Raft1.gif,
item.ladder,Step Ladder,https://www.videogamesprites.net/Zelda1/Objects/Stepladder.gif,
item.recorder,Recorder,https://www.videogamesprites.net/Zelda1/Objects/Recorder.gif,
item.bracelet,Power Bracelet,https://www.videogamesprites.net/Zelda1/Objects/Power%20Bracelet.gif,
item.bait,Bait,https://www.videogamesprites.net/Zelda1/Objects/Food.gif,
item.letter,Letter,https://www.videogamesprites.net/Zelda1/Objects/Letter.gif,
item.potion.blue,Life Potion,https://www.videogamesprites.net/Zelda1/Objects/Life%20Potion.gif,
item.potion.red,2nd Potion,https://www.videogamesprites.net/Zelda1/Objects/2nd%20Potion.gif,
item.bomb,Bombs,https://www.videogamesprites.net/Zelda1/Objects/Bomb.gif,
item.key,Key,https://www.videogamesprites.net/Zelda1/Objects/Key.gif,
item.key.magical,Magical Key,https://www.videogamesprites.net/Zelda1/Objects/Magical%20Key.gif,
item.heart,Heart Container,https://www.videogamesprites.net/Zelda1/Objects/Heart%20Container.gif,
item.life,Life,https://www.videogamesprites.net/Zelda1/Objects/Life1.gif,
ui.triforce,Triforce Piece,https://www.videogamesprites.net/Zelda1/Objects/Triforce1.gif,
item.shield.magical,Magical Shield,https://www.videogamesprites.net/Zelda1/Objects/Magical%20Shield.gif,
mark.start,Start,https://www.videogamesprites.net/Zelda1/Objects/Compass.gif,
boss.ganon,Ganon,https://www.videogamesprites.net/Zelda1/Bosses/7%20-%20Ganon%20-%20Red1.gif,
npc.zelda,Princess Zelda,https://www.videogamesprites.net/Zelda1/NPCs/Princess%20Zelda.gif,
